pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=32,sr<=5%,kvB<=4k,kp<=1k,0.0585,2
16,n<=32,sr<=5%,kvB<=4k,kp<=2k,0.0363,2
16,n<=32,sr<=5%,kvB<=4k,kp<=4k,0.0164,2
16,n<=32,sr<=5%,kvB<=4k,kp<=512,0.0508,2
16,n<=32,sr<=5%,kvB<=4k,kp<=8k,0.0224,2
16,n<=32,sr<=5%,kvB<=4k,kp=0,0.0868,2
16,n<=32,sr<=70%,kvB<=16k,kp<=1k,0.1664,2
16,n<=32,sr<=70%,kvB<=16k,kp<=2k,0.1644,2
16,n<=32,sr<=70%,kvB<=16k,kp<=4k,0.1337,2
16,n<=32,sr<=70%,kvB<=16k,kp<=512,0.1858,2
16,n<=32,sr<=70%,kvB<=16k,kp<=8k,0.1357,2
16,n<=32,sr<=70%,kvB<=16k,kp=0,0.1973,2
16,n<=32,sr<=70%,kvB<=1k,kp<=1k,0.209,2
16,n<=32,sr<=70%,kvB<=1k,kp<=2k,0.229,2
16,n<=32,sr<=70%,kvB<=1k,kp<=4k,0.2425,2
16,n<=32,sr<=70%,kvB<=1k,kp<=512,0.1935,2
16,n<=32,sr<=70%,kvB<=1k,kp<=8k,0.2193,2
16,n<=32,sr<=70%,kvB<=1k,kp=0,0.3162,2
16,n<=32,sr<=70%,kvB<=4k,kp<=1k,0.2185,2
16,n<=32,sr<=70%,kvB<=4k,kp<=2k,0.2565,2
16,n<=32,sr<=70%,kvB<=4k,kp<=4k,0.2312,2
16,n<=32,sr<=70%,kvB<=4k,kp<=512,0.3991,2
16,n<=32,sr<=70%,kvB<=4k,kp<=8k,0.2295,2
16,n<=32,sr<=70%,kvB<=4k,kp=0,0.4622,2
16,n<=32,sr>70%,kvB<=16k,kp<=1k,0.3667,4
16,n<=32,sr>70%,kvB<=16k,kp<=2k,0.4039,4
16,n<=32,sr>70%,kvB<=16k,kp<=4k,0.3058,4
16,n<=32,sr>70%,kvB<=16k,kp<=512,0.4187,4
16,n<=32,sr>70%,kvB<=16k,kp<=8k,0.2759,4
16,n<=32,sr>70%,kvB<=16k,kp=0,0.4543,4
16,n<=32,sr>70%,kvB<=1k,kp<=1k,0.544,4
16,n<=32,sr>70%,kvB<=1k,kp<=2k,0.4044,4
16,n<=32,sr>70%,kvB<=1k,kp<=4k,0.3994,4
16,n<=32,sr>70%,kvB<=1k,kp<=512,0.4775,4
16,n<=32,sr>70%,kvB<=1k,kp<=8k,0.5139,4
16,n<=32,sr>70%,kvB<=1k,kp=0,1.053,4
16,n<=32,sr>70%,kvB<=4k,kp<=1k,0.5564,4
16,n<=32,sr>70%,kvB<=4k,kp<=2k,0.5109,4
16,n<=32,sr>70%,kvB<=4k,kp<=4k,0.5546,4
16,n<=32,sr>70%,kvB<=4k,kp<=512,0.9973,4
16,n<=32,sr>70%,kvB<=4k,kp<=8k,0.407,4
16,n<=32,sr>70%,kvB<=4k,kp=0,1.1583,4
16,n<=4,sr<=40%,kvB<=16k,kp<=1k,0.3058,2
16,n<=4,sr<=40%,kvB<=16k,kp<=2k,0.2235,2
16,n<=4,sr<=40%,kvB<=16k,kp<=4k,0.2858,2
16,n<=4,sr<=40%,kvB<=16k,kp<=512,0.4144,2
16,n<=4,sr<=40%,kvB<=16k,kp<=8k,0.2164,2
16,n<=4,sr<=40%,kvB<=16k,kp=0,0.5203,2
16,n<=4,sr<=40%,kvB<=1k,kp<=1k,0.1711,2
16,n<=4,sr<=40%,kvB<=1k,kp<=2k,0.3244,2
16,n<=4,sr<=40%,kvB<=1k,kp<=4k,0.3269,2
16,n<=4,sr<=40%,kvB<=1k,kp<=512,0.2849,2
16,n<=4,sr<=40%,kvB<=1k,kp<=8k,0.3155,2
16,n<=4,sr<=40%,kvB<=1k,kp=0,0.2818,5
16,n<=4,sr<=40%,kvB<=4k,kp<=1k,0.2938,2
16,n<=4,sr<=40%,kvB<=4k,kp<=2k,0.206,2
16,n<=4,sr<=40%,kvB<=4k,kp<=4k,0.0826,2
16,n<=4,sr<=40%,kvB<=4k,kp<=512,0.2256,2
16,n<=4,sr<=40%,kvB<=4k,kp<=8k,0.1549,2
16,n<=4,sr<=40%,kvB<=4k,kp=0,0.3917,3
16,n<=4,sr<=70%,kvB<=16k,kp<=1k,0.6197,2
16,n<=4,sr<=70%,kvB<=16k,kp<=2k,0.3719,2
16,n<=4,sr<=70%,kvB<=16k,kp<=4k,0.1889,2
16,n<=4,sr<=70%,kvB<=16k,kp<=512,0.7993,2
16,n<=4,sr<=70%,kvB<=16k,kp<=8k,0.1172,2
16,n<=4,sr<=70%,kvB<=16k,kp=0,0.9588,2
16,n<=4,sr<=70%,kvB<=1k,kp<=1k,0.0719,2
16,n<=4,sr<=70%,kvB<=1k,kp<=2k,0.5218,2
16,n<=4,sr<=70%,kvB<=1k,kp<=4k,0.5238,2
16,n<=4,sr<=70%,kvB<=1k,kp<=512,0.2936,2
16,n<=4,sr<=70%,kvB<=1k,kp<=8k,0.4475,2
16,n<=4,sr<=70%,kvB<=1k,kp=0,0.2242,4
