prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,32,2,256,17.9413
16,32,2,512,25.0993
16,32,2,1024,39.8727
16,32,2,2048,69.4403
16,32,2,4096,128.609
16,32,2,8192,246.423
16,32,2,16384,484.804
16,32,4,16,11.8507
16,32,4,32,12.0647
16,32,4,64,12.0433
16,32,4,128,14.5393
16,32,4,256,18.0907
16,32,4,512,25.2163
16,32,4,1024,40.107
16,32,4,2048,70.827
16,32,4,4096,130.678
16,32,4,8192,249.442
16,32,4,16384,485.839
16,32,8,16,11.9467
16,32,8,32,12.0107
16,32,8,64,12.0963
16,32,8,128,14.6133
16,32,8,256,18.2613
16,32,8,512,25.632
16,32,8,1024,40.9177
16,32,8,2048,71.3923
16,32,8,4096,131.745
16,32,8,8192,250.029
16,32,8,16384,487.46
16,32,16,16,17.5147
16,32,16,32,17.867
16,32,16,64,18.1227
16,32,16,128,22.4643
16,32,16,256,27.2427
16,32,16,512,34.5497
16,32,16,1024,49.1843
16,32,16,2048,79.649
16,32,16,4096,138.806
16,32,16,8192,255.682
16,32,16,16384,492.847
16,32,32,16,23.0827
16,32,32,32,23.5947
16,32,32,64,24.0107
16,32,32,128,32.6613
16,32,32,256,42.816
16,32,32,512,57.707
16,32,32,1024,87.532
16,32,32,2048,144.065
16,32,32,4096,266.69
16,32,32,8192,513.476
16,32,32,16384,1011.76
16,32,64,16,34.4427
16,32,64,32,34.955
16,32,64,64,35.5203
16,32,64,128,52.9287
16,32,64,256,79.958
16,32,64,512,125.356
16,32,64,1024,216.898
16,32,64,2048,405.774
16,32,64,4096,780.615
16,32,64,8192,1545.66
16,32,64,16384,3052.21
16,32,128,16,57.5467
16,32,128,32,58.464
16,32,128,64,59.499
16,32,128,128,94.7633
16,32,128,256,141.345
16,32,128,512,231.618
16,32,128,1024,417.903
16,32,128,2048,790.866
16,32,128,4096,1542.46
16,32,128,8192,3081.43
16,32,128,16384,6091.95
16,64,0,0,12.1387
16,64,1,16,11.9787
16,64,1,32,12.0533
16,64,1,64,12.203
16,64,1,128,14.3787
16,64,1,256,17.9307
16,64,1,512,24.9923
16,64,1,1024,39.4883
16,64,1,2048,68.929
16,64,1,4096,127.543
16,64,1,8192,245.954
16,64,1,16384,482.521
16,64,2,16,11.7547
16,64,2,32,11.7973
16,64,2,64,11.883
16,64,2,128,14.3787
16,64,2,256,17.9093
16,64,2,512,25.142
16,64,2,1024,39.8827
16,64,2,2048,69.419
16,64,2,4096,128.577
16,64,2,8192,246.403
16,64,2,16384,483.876
16,64,4,16,11.8827
16,64,4,32,12
16,64,4,64,12.0107
16,64,4,128,14.5067
16,64,4,256,18.1017
16,64,4,512,25.184
16,64,4,1024,40.203
16,64,4,2048,70.7093
16,64,4,4096,130.551
16,64,4,8192,249.623
16,64,4,16384,485.732
16,64,8,16,11.808
16,64,8,32,11.9783
16,64,8,64,12.1173
16,64,8,128,14.6457
16,64,8,256,18.251
16,64,8,512,25.653
16,64,8,1024,41.014
16,64,8,2048,71.2113
16,64,8,4096,131.19
16,64,8,8192,249.72
16,64,8,16384,487.546
16,64,16,16,17.5253
16,64,16,32,17.7387
16,64,16,64,18.0053
16,64,16,128,22.6347
16,64,16,256,27.488
16,64,16,512,35.0613
16,64,16,1024,49.4723
16,64,16,2048,79.3613
16,64,16,4096,137.591
16,64,16,8192,255.981
16,64,16,16384,492.633
16,64,32,16,23.1893
16,64,32,32,23.7123
16,64,32,64,24.032
16,64,32,128,32.8423
16,64,32,256,42.8593
16,64,32,512,58.1767
16,64,32,1024,86.8163
16,64,32,2048,144.716
16,64,32,4096,266.925
16,64,32,8192,512.751
16,64,32,16384,1009.75
16,64,64,16,34.379
16,64,64,32,35.03
16,64,64,64,35.339
16,64,64,128,53.2803
16,64,64,256,81.057
16,64,64,512,125.228
16,64,64,1024,216.716
16,64,64,2048,406.745
16,64,64,4096,781.639
16,64,64,8192,1538.42
16,64,64,16384,3058.77
16,64,128,16,57.579
16,64,128,32,58.6243
16,64,128,64,59.424
16,64,128,128,95.4993
16,64,128,256,141.025
16,64,128,512,233.218
16,64,128,1024,419.022
16,64,128,2048,792.444
16,64,128,4096,1544.05
16,64,128,8192,3075.5
16,64,128,16384,6105.89
16,128,0,0,15.328
16,128,1,16,14.5493
16,128,1,32,14.56
16,128,1,64,14.5497
16,128,1,128,15.232
16,128,1,256,17.9417
16,128,1,512,24.971
16,128,1,1024,39.5843
16,128,1,2048,68.8643
16,128,1,4096,127.596
16,128,1,8192,245.89
16,128,1,16384,482.532
16,128,2,16,14.5177
16,128,2,32,14.4853
16,128,2,64,14.5927
16,128,2,128,15.0187
16,128,2,256,17.92
16,128,2,512,25.0773
16,128,2,1024,39.873
16,128,2,2048,69.569
16,128,2,4096,128.695
16,128,2,8192,246.605
16,128,2,16384,484.132
16,128,4,16,14.656
16,128,4,32,14.6773
16,128,4,64,14.6987
16,128,4,128,15.168
16,128,4,256,18.1657
16,128,4,512,25.248
16,128,4,1024,40.1503
16,128,4,2048,70.7203
16,128,4,4096,130.583
16,128,4,8192,249.324
16,128,4,16384,485.828
16,128,8,16,14.571
16,128,8,32,14.5817
16,128,8,64,14.7203
16,128,8,128,15.3173
16,128,8,256,18.187
16,128,8,512,25.6967
16,128,8,1024,41.025
16,128,8,2048,71.1583
16,128,8,4096,131.041
16,128,8,8192,250.178
16,128,8,16384,487.856
16,128,16,16,17.5363
16,128,16,32,17.718
16,128,16,64,18.0053
16,128,16,128,24.534
16,128,16,256,29.867
16,128,16,512,38.0797
16,128,16,1024,52.438
16,128,16,2048,81.8353
16,128,16,4096,141.409
16,128,16,8192,258.061
16,128,16,16384,494.149
16,128,32,16,23.2213
16,128,32,32,23.702
16,128,32,64,24.0747
